,date,DX
760,2003-02-12,31.7067
761,2003-02-13,32.497
762,2003-02-14,17.3261
763,2003-02-18,72.0105
764,2003-02-19,72.2094
765,2003-02-20,72.2725
766,2003-02-21,72.6464
767,2003-02-24,72.6464
768,2003-02-25,73.1083
769,2003-02-26,71.7806
770,2003-02-27,72.096
771,2003-02-28,72.096
772,2003-03-03,72.2799
773,2003-03-04,72.709
774,2003-03-05,72.7221
775,2003-03-06,72.7221
776,2003-03-07,70.1035
777,2003-03-10,70.1199
778,2003-03-11,70.3431
779,2003-03-12,70.7151
780,2003-03-13,57.8163
781,2003-03-14,55.7203
782,2003-03-17,46.5038
783,2003-03-18,45.6787
784,2003-03-19,42.0301
785,2003-03-20,41.1712
786,2003-03-21,38.4298
787,2003-03-24,42.0272
788,2003-03-25,42.6496
789,2003-03-26,42.6496
790,2003-03-27,45.4613
791,2003-03-28,45.4613
792,2003-03-31,48.0241
793,2003-04-01,48.0241
794,2003-04-02,32.7898
795,2003-04-03,31.8013
796,2003-04-04,35.5604
797,2003-04-07,28.5473
798,2003-04-08,28.5473
799,2003-04-09,32.5951
800,2003-04-10,34.1422
801,2003-04-11,29.4508
802,2003-04-14,29.4508
803,2003-04-15,29.4508
804,2003-04-16,17.7508
805,2003-04-17,17.7508
806,2003-04-21,16.8883
807,2003-04-22,14.492
808,2003-04-23,12.0736
809,2003-04-24,13.5904
810,2003-04-25,15.1316
811,2003-04-28,10.9651
812,2003-04-29,6.7626
813,2003-04-30,11.6482
814,2003-05-01,10.6546
815,2003-05-02,5.8389
816,2003-05-05,4.4319
817,2003-05-06,2.8486
818,2003-05-07,2.8486
819,2003-05-08,4.7398
820,2003-05-09,0.8843
821,2003-05-12,0.8843
822,2003-05-13,1.8726
823,2003-05-14,7.3593
824,2003-05-15,7.3593
825,2003-05-16,9.9107
826,2003-05-19,19.6636
827,2003-05-20,22.8143
828,2003-05-21,30.1442
829,2003-05-22,30.1442
830,2003-05-23,24.3526
831,2003-05-27,17.2337
832,2003-05-28,17.2337
833,2003-05-29,18.2706
834,2003-05-30,13.1547
835,2003-06-02,10.6359
836,2003-06-03,10.6359
837,2003-06-04,4.2102
838,2003-06-05,16.615
839,2003-06-06,21.8674
840,2003-06-09,22.5804
841,2003-06-10,6.7847
842,2003-06-11,2.9753
843,2003-06-12,0.2358
844,2003-06-13,4.1346
845,2003-06-16,0.983
846,2003-06-17,11.0225
847,2003-06-18,15.2922
848,2003-06-19,15.2922
849,2003-06-20,15.2922
850,2003-06-23,4.777
851,2003-06-24,4.777
852,2003-06-25,2.4286
853,2003-06-26,6.8035
854,2003-06-27,6.8035
855,2003-06-30,6.1917
856,2003-07-01,3.8945
857,2003-07-02,16.5111
858,2003-07-03,15.6355
859,2003-07-07,24.5842
860,2003-07-08,27.9368
861,2003-07-09,27.9368
862,2003-07-10,13.2145
863,2003-07-11,13.6897
864,2003-07-14,19.2734
865,2003-07-15,19.2734
866,2003-07-16,20.6946
867,2003-07-17,6.2547
868,2003-07-18,6.2547
869,2003-07-21,7.6563
870,2003-07-22,7.6563
871,2003-07-23,5.8143
872,2003-07-24,0.3901
873,2003-07-25,0.2082
874,2003-07-28,1.2408
875,2003-07-29,3.9881
876,2003-07-30,5.4277
877,2003-07-31,3.6927
878,2003-08-01,0.4099
879,2003-08-04,7.8809
880,2003-08-05,10.7385
881,2003-08-06,13.9239
882,2003-08-07,13.9239
883,2003-08-08,9.5905
884,2003-08-11,9.333
885,2003-08-12,11.3073
886,2003-08-13,8.0064
887,2003-08-14,8.0064
888,2003-08-15,10.2191
889,2003-08-18,5.1886
890,2003-08-19,14.6012
891,2003-08-20,14.6012
892,2003-08-21,18.7331
893,2003-08-22,23.0445
894,2003-08-25,23.0445
895,2003-08-26,14.765
896,2003-08-27,14.765
897,2003-08-28,12.8945
898,2003-08-29,12.8945
899,2003-09-02,28.9364
900,2003-09-03,44.6685
901,2003-09-04,45.4771
902,2003-09-05,48.6373
903,2003-09-08,50.4719
904,2003-09-09,49.4801
905,2003-09-10,25.4067
906,2003-09-11,25.4067
907,2003-09-12,29.7846
908,2003-09-15,32.7912
909,2003-09-16,37.3623
910,2003-09-17,37.3623
911,2003-09-18,44.2787
912,2003-09-19,49.135
913,2003-09-22,30.6368
914,2003-09-23,30.6368
915,2003-09-24,19.9556
916,2003-09-25,15.6287
917,2003-09-26,13.8989
918,2003-09-29,16.0472
919,2003-09-30,8.3832
920,2003-10-01,8.7457
921,2003-10-02,10.9705
922,2003-10-03,22.7071
923,2003-10-06,22.2294
924,2003-10-07,23.3292
925,2003-10-08,17.3402
926,2003-10-09,17.3402
927,2003-10-10,14.017
928,2003-10-13,9.739
929,2003-10-14,9.2315
930,2003-10-15,18.9044
931,2003-10-16,19.8221
932,2003-10-17,19.8221
933,2003-10-20,21.3991
934,2003-10-21,22.601
935,2003-10-22,11.5311
936,2003-10-23,5.4672
937,2003-10-24,31.7468
938,2003-10-27,31.7468
939,2003-10-28,28.9105
940,2003-10-29,31.7462
941,2003-10-30,40.2927
942,2003-10-31,40.2927
943,2003-11-03,32.6836
944,2003-11-04,35.9847
945,2003-11-05,36.1025
946,2003-11-06,36.1025
947,2003-11-07,31.0265
948,2003-11-10,31.4514
949,2003-11-11,36.0155
950,2003-11-12,36.9529
951,2003-11-13,38.9695
952,2003-11-14,36.2177
953,2003-11-17,43.9995
954,2003-11-18,32.6428
955,2003-11-19,32.6428
956,2003-11-20,33.9417
957,2003-11-21,33.9417
958,2003-11-24,21.5352
959,2003-11-25,17.7958
960,2003-11-26,18.9212
961,2003-11-28,15.5898
962,2003-12-01,3.8506
963,2003-12-02,3.8506
964,2003-12-03,3.8506
965,2003-12-04,0.2588
966,2003-12-05,6.3537
967,2003-12-08,3.4265
968,2003-12-09,9.8381
969,2003-12-10,10.3024
970,2003-12-11,13.5818
971,2003-12-12,14.5217
972,2003-12-15,21.0727
973,2003-12-16,22.3684
974,2003-12-17,22.3684
975,2003-12-18,30.1984
976,2003-12-19,32.1455
977,2003-12-22,24.1273
978,2003-12-23,24.1273
979,2003-12-24,23.7491
980,2003-12-26,25.8882
981,2003-12-29,32.1241
982,2003-12-30,32.5508
983,2003-12-31,25.492
984,2004-01-02,30.5315
985,2004-01-05,38.6692
986,2004-01-06,40.4599
987,2004-01-07,37.9167
988,2004-01-08,41.0975
989,2004-01-09,24.8574
990,2004-01-12,16.5888
991,2004-01-13,13.6187
