,date,MACD_Signal,MACD_Hist,MACD
351,2001-07-12,-0.2624,-0.2275,-0.4899
352,2001-07-13,-0.2568,0.0221,-0.2348
353,2001-07-16,-0.2145,0.1695,-0.045
354,2001-07-17,-0.1405,0.2958,0.1553
355,2001-07-18,-0.0703,0.281,0.2107
356,2001-07-19,0.026,0.3852,0.4113
357,2001-07-20,0.0795,0.2138,0.2933
358,2001-07-23,0.0697,-0.039,0.0308
359,2001-07-24,0.0085,-0.2451,-0.2366
360,2001-07-25,-0.0634,-0.2875,-0.3509
361,2001-07-26,-0.1522,-0.3553,-0.5075
362,2001-07-27,-0.2645,-0.4492,-0.7137
363,2001-07-30,-0.3798,-0.461,-0.8408
364,2001-07-31,-0.4838,-0.4159,-0.8997
365,2001-08-01,-0.5697,-0.3436,-0.9133
366,2001-08-02,-0.6228,-0.2125,-0.8353
367,2001-08-03,-0.6601,-0.1492,-0.8094
368,2001-08-06,-0.6962,-0.1443,-0.8404
369,2001-08-07,-0.7245,-0.1132,-0.8377
370,2001-08-08,-0.7685,-0.1763,-0.9448
371,2001-08-09,-0.816,-0.19,-1.006
372,2001-08-10,-0.8532,-0.1486,-1.0018
373,2001-08-13,-0.875,-0.0874,-0.9624
374,2001-08-14,-0.9023,-0.1092,-1.0115
375,2001-08-15,-0.9533,-0.204,-1.1573
376,2001-08-16,-0.9916,-0.1534,-1.145
377,2001-08-17,-1.0615,-0.2794,-1.341
378,2001-08-20,-1.132,-0.2818,-1.4138
379,2001-08-21,-1.2271,-0.3807,-1.6079
380,2001-08-22,-1.332,-0.4192,-1.7512
381,2001-08-23,-1.4588,-0.5075,-1.9664
382,2001-08-24,-1.5428,-0.336,-1.8788
383,2001-08-27,-1.5879,-0.1802,-1.7681
384,2001-08-28,-1.6276,-0.1588,-1.7864
385,2001-08-29,-1.666,-0.1535,-1.8195
386,2001-08-30,-1.7505,-0.3382,-2.0887
387,2001-08-31,-1.8538,-0.4133,-2.2671
388,2001-09-04,-1.9744,-0.4824,-2.4568
389,2001-09-05,-2.0688,-0.3777,-2.4466
390,2001-09-06,-2.1647,-0.3832,-2.5479
391,2001-09-07,-2.2613,-0.3864,-2.6477
392,2001-09-10,-2.3134,-0.2085,-2.5218
393,2001-09-17,-2.4041,-0.3629,-2.767
394,2001-09-18,-2.4863,-0.3288,-2.8151
395,2001-09-19,-2.5604,-0.2962,-2.8566
396,2001-09-20,-2.6692,-0.4354,-3.1046
397,2001-09-21,-2.8048,-0.5425,-3.3473
398,2001-09-24,-2.907,-0.4088,-3.3159
399,2001-09-25,-2.9876,-0.3224,-3.3101
400,2001-09-26,-3.0601,-0.2899,-3.35
401,2001-09-27,-3.1216,-0.2461,-3.3678
402,2001-09-28,-3.1467,-0.1002,-3.2468
403,2001-10-01,-3.1305,0.0649,-3.0656
404,2001-10-02,-3.062,0.2738,-2.7882
405,2001-10-03,-2.9067,0.6213,-2.2854
406,2001-10-04,-2.6951,0.8464,-1.8486
407,2001-10-05,-2.4327,1.0494,-1.3833
