,date,EMA
762,2003-02-13,48.8704
763,2003-02-14,48.816
764,2003-02-18,46.544
765,2003-02-19,44.4475
766,2003-02-20,42.5134
767,2003-02-21,40.8102
768,2003-02-24,39.2159
769,2003-02-25,37.7849
770,2003-02-26,36.4349
771,2003-02-27,35.2106
772,2003-02-28,34.1144
773,2003-03-03,33.1073
774,2003-03-04,32.1514
775,2003-03-05,31.3217
776,2003-03-06,30.5549
777,2003-03-07,29.8887
778,2003-03-10,29.2279
779,2003-03-11,28.6157
780,2003-03-12,28.118
781,2003-03-13,27.7896
782,2003-03-14,27.5106
783,2003-03-17,27.3601
784,2003-03-18,27.2344
785,2003-03-19,27.1473
786,2003-03-20,27.0618
787,2003-03-21,27.015
788,2003-03-24,26.8507
789,2003-03-25,26.7211
790,2003-03-26,26.581
791,2003-03-27,26.4342
792,2003-03-28,26.2662
793,2003-03-31,26.0704
794,2003-04-01,25.9065
795,2003-04-02,25.8888
796,2003-04-03,25.8737
797,2003-04-04,25.799
798,2003-04-07,25.7391
799,2003-04-08,25.724
800,2003-04-09,25.6141
801,2003-04-10,25.5165
802,2003-04-11,25.3911
803,2003-04-14,25.331
804,2003-04-15,25.2614
805,2003-04-16,25.2289
806,2003-04-17,25.2547
807,2003-04-21,25.2505
808,2003-04-22,25.299
809,2003-04-23,25.3391
810,2003-04-24,25.3535
811,2003-04-25,25.3407
812,2003-04-28,25.3788
813,2003-04-29,25.4189
814,2003-04-30,25.4333
815,2003-05-01,25.4606
816,2003-05-02,25.5215
817,2003-05-05,25.5537
818,2003-05-06,25.6315
819,2003-05-07,25.6656
820,2003-05-08,25.6727
821,2003-05-09,25.7382
822,2003-05-12,25.7821
823,2003-05-13,25.8019
824,2003-05-14,25.7846
825,2003-05-15,25.7851
826,2003-05-16,25.7646
827,2003-05-19,25.669
828,2003-05-20,25.57
829,2003-05-21,25.4233
830,2003-05-22,25.303
831,2003-05-23,25.1999
832,2003-05-27,25.1608
833,2003-05-28,25.0893
834,2003-05-29,25.0237
835,2003-05-30,24.9843
836,2003-06-02,24.9515
837,2003-06-03,24.9447
838,2003-06-04,24.9376
